Liczba miast: 	22	 Wielkosc populacji: 	50	 Wielkosc turnieju: 	4	 Szansa mutacji: 	5	 Czas pomiaru: 	10000	 Generacja: 	49845	 Najlepszy wynik: 	16
Liczba miast: 	22	 Wielkosc populacji: 	50	 Wielkosc turnieju: 	4	 Szansa mutacji: 	5	 Czas pomiaru: 	30000.2	 Generacja: 	149651	 Najlepszy wynik: 	16
Liczba miast: 	22	 Wielkosc populacji: 	50	 Wielkosc turnieju: 	4	 Szansa mutacji: 	5	 Czas pomiaru: 	100000	 Generacja: 	498902	 Najlepszy wynik: 	15
Liczba miast: 	22	 Wielkosc populacji: 	50	 Wielkosc turnieju: 	4	 Szansa mutacji: 	5	 Czas pomiaru: 	200000	 Generacja: 	996868	 Najlepszy wynik: 	15
Liczba miast: 	22	 Wielkosc populacji: 	100	 Wielkosc turnieju: 	5	 Szansa mutacji: 	1	 Czas pomiaru: 	1000.44	 Generacja: 	1866	 Najlepszy wynik: 	17
Liczba miast: 	22	 Wielkosc populacji: 	100	 Wielkosc turnieju: 	5	 Szansa mutacji: 	1	 Czas pomiaru: 	5000.18	 Generacja: 	9376	 Najlepszy wynik: 	15
Liczba miast: 	22	 Wielkosc populacji: 	100	 Wielkosc turnieju: 	5	 Szansa mutacji: 	1	 Czas pomiaru: 	10000.1	 Generacja: 	18775	 Najlepszy wynik: 	13
Liczba miast: 	22	 Wielkosc populacji: 	100	 Wielkosc turnieju: 	5	 Szansa mutacji: 	1	 Czas pomiaru: 	30000.1	 Generacja: 	56226	 Najlepszy wynik: 	13
Liczba miast: 	22	 Wielkosc populacji: 	100	 Wielkosc turnieju: 	5	 Szansa mutacji: 	1	 Czas pomiaru: 	100000	 Generacja: 	187604	 Najlepszy wynik: 	13
Liczba miast: 	22	 Wielkosc populacji: 	100	 Wielkosc turnieju: 	5	 Szansa mutacji: 	1	 Czas pomiaru: 	200000	 Generacja: 	374961	 Najlepszy wynik: 	12
Liczba miast: 	22	 Wielkosc populacji: 	100	 Wielkosc turnieju: 	5	 Szansa mutacji: 	5	 Czas pomiaru: 	1000.42	 Generacja: 	1877	 Najlepszy wynik: 	16
Liczba miast: 	22	 Wielkosc populacji: 	100	 Wielkosc turnieju: 	5	 Szansa mutacji: 	5	 Czas pomiaru: 	5000.39	 Generacja: 	9399	 Najlepszy wynik: 	15
Liczba miast: 	22	 Wielkosc populacji: 	100	 Wielkosc turnieju: 	5	 Szansa mutacji: 	5	 Czas pomiaru: 	10000.2	 Generacja: 	18768	 Najlepszy wynik: 	12
Liczba miast: 	22	 Wielkosc populacji: 	100	 Wielkosc turnieju: 	5	 Szansa mutacji: 	5	 Czas pomiaru: 	30000.3	 Generacja: 	56363	 Najlepszy wynik: 	12
Liczba miast: 	22	 Wielkosc populacji: 	100	 Wielkosc turnieju: 	5	 Szansa mutacji: 	5	 Czas pomiaru: 	100000	 Generacja: 	187879	 Najlepszy wynik: 	12
Liczba miast: 	22	 Wielkosc populacji: 	100	 Wielkosc turnieju: 	5	 Szansa mutacji: 	5	 Czas pomiaru: 	200000	 Generacja: 	375783	 Najlepszy wynik: 	12
													
													
													
													
													
													
Liczba miast: 	48	 Wielkosc populacji: 	10	 Wielkosc turnieju: 	2	 Szansa mutacji: 	1	 Czas pomiaru: 	1000.06	 Generacja: 	17832	 Najlepszy wynik: 	37621
Liczba miast: 	48	 Wielkosc populacji: 	10	 Wielkosc turnieju: 	2	 Szansa mutacji: 	1	 Czas pomiaru: 	5000.04	 Generacja: 	87209	 Najlepszy wynik: 	34801
Liczba miast: 	48	 Wielkosc populacji: 	10	 Wielkosc turnieju: 	2	 Szansa mutacji: 	1	 Czas pomiaru: 	10000	 Generacja: 	174285	 Najlepszy wynik: 	34801
Liczba miast: 	48	 Wielkosc populacji: 	10	 Wielkosc turnieju: 	2	 Szansa mutacji: 	1	 Czas pomiaru: 	30000	 Generacja: 	528651	 Najlepszy wynik: 	34801
Liczba miast: 	48	 Wielkosc populacji: 	10	 Wielkosc turnieju: 	2	 Szansa mutacji: 	1	 Czas pomiaru: 	100000	 Generacja: 	1792003	 Najlepszy wynik: 	33254
Liczba miast: 	48	 Wielkosc populacji: 	10	 Wielkosc turnieju: 	2	 Szansa mutacji: 	1	 Czas pomiaru: 	200000	 Generacja: 	3561694	 Najlepszy wynik: 	31797
Liczba miast: 	48	 Wielkosc populacji: 	10	 Wielkosc turnieju: 	2	 Szansa mutacji: 	5	 Czas pomiaru: 	1000.04	 Generacja: 	17232	 Najlepszy wynik: 	35814
Liczba miast: 	48	 Wielkosc populacji: 	10	 Wielkosc turnieju: 	2	 Szansa mutacji: 	5	 Czas pomiaru: 	5000.05	 Generacja: 	85281	 Najlepszy wynik: 	34644
Liczba miast: 	48	 Wielkosc populacji: 	10	 Wielkosc turnieju: 	2	 Szansa mutacji: 	5	 Czas pomiaru: 	10000	 Generacja: 	171910	 Najlepszy wynik: 	34644
Liczba miast: 	48	 Wielkosc populacji: 	10	 Wielkosc turnieju: 	2	 Szansa mutacji: 	5	 Czas pomiaru: 	30000	 Generacja: 	515084	 Najlepszy wynik: 	34569
Liczba miast: 	48	 Wielkosc populacji: 	10	 Wielkosc turnieju: 	2	 Szansa mutacji: 	5	 Czas pomiaru: 	100000	 Generacja: 	1734654	 Najlepszy wynik: 	32550
Liczba miast: 	48	 Wielkosc populacji: 	10	 Wielkosc turnieju: 	2	 Szansa mutacji: 	5	 Czas pomiaru: 	200000	 Generacja: 	3498222	 Najlepszy wynik: 	30195
Liczba miast: 	48	 Wielkosc populacji: 	20	 Wielkosc turnieju: 	3	 Szansa mutacji: 	1	 Czas pomiaru: 	1000.07	 Generacja: 	8371	 Najlepszy wynik: 	33935
Liczba miast: 	48	 Wielkosc populacji: 	20	 Wielkosc turnieju: 	3	 Szansa mutacji: 	1	 Czas pomiaru: 	5000.07	 Generacja: 	41054	 Najlepszy wynik: 	33025
Liczba miast: 	48	 Wielkosc populacji: 	20	 Wielkosc turnieju: 	3	 Szansa mutacji: 	1	 Czas pomiaru: 	10000	 Generacja: 	79395	 Najlepszy wynik: 	33025
Liczba miast: 	48	 Wielkosc populacji: 	20	 Wielkosc turnieju: 	3	 Szansa mutacji: 	1	 Czas pomiaru: 	30000	 Generacja: 	242381	 Najlepszy wynik: 	30193
Liczba miast: 	48	 Wielkosc populacji: 	20	 Wielkosc turnieju: 	3	 Szansa mutacji: 	1	 Czas pomiaru: 	100000	 Generacja: 	824099	 Najlepszy wynik: 	30193
Liczba miast: 	48	 Wielkosc populacji: 	20	 Wielkosc turnieju: 	3	 Szansa mutacji: 	1	 Czas pomiaru: 	200000	 Generacja: 	1663244	 Najlepszy wynik: 	28485
Liczba miast: 	48	 Wielkosc populacji: 	20	 Wielkosc turnieju: 	3	 Szansa mutacji: 	5	 Czas pomiaru: 	1000.07	 Generacja: 	8434	 Najlepszy wynik: 	34158
Liczba miast: 	48	 Wielkosc populacji: 	20	 Wielkosc turnieju: 	3	 Szansa mutacji: 	5	 Czas pomiaru: 	5000.06	 Generacja: 	42063	 Najlepszy wynik: 	32358
Liczba miast: 	48	 Wielkosc populacji: 	20	 Wielkosc turnieju: 	3	 Szansa mutacji: 	5	 Czas pomiaru: 	10000	 Generacja: 	84334	 Najlepszy wynik: 	32358
Liczba miast: 	48	 Wielkosc populacji: 	20	 Wielkosc turnieju: 	3	 Szansa mutacji: 	5	 Czas pomiaru: 	30000.1	 Generacja: 	252941	 Najlepszy wynik: 	31536
Liczba miast: 	48	 Wielkosc populacji: 	20	 Wielkosc turnieju: 	3	 Szansa mutacji: 	5	 Czas pomiaru: 	100000	 Generacja: 	842697	 Najlepszy wynik: 	30253
Liczba miast: 	48	 Wielkosc populacji: 	20	 Wielkosc turnieju: 	3	 Szansa mutacji: 	5	 Czas pomiaru: 	200000	 Generacja: 	1684722	 Najlepszy wynik: 	29626
Liczba miast: 	48	 Wielkosc populacji: 	50	 Wielkosc turnieju: 	4	 Szansa mutacji: 	1	 Czas pomiaru: 	1000.05	 Generacja: 	2186	 Najlepszy wynik: 	28517
Liczba miast: 	48	 Wielkosc populacji: 	50	 Wielkosc turnieju: 	4	 Szansa mutacji: 	1	 Czas pomiaru: 	5000.07	 Generacja: 	10961	 Najlepszy wynik: 	27204
Liczba miast: 	48	 Wielkosc populacji: 	50	 Wielkosc turnieju: 	4	 Szansa mutacji: 	1	 Czas pomiaru: 	10000.2	 Generacja: 	21942	 Najlepszy wynik: 	27083
Liczba miast: 	48	 Wielkosc populacji: 	50	 Wielkosc turnieju: 	4	 Szansa mutacji: 	1	 Czas pomiaru: 	30000.4	 Generacja: 	65869	 Najlepszy wynik: 	27083
Liczba miast: 	48	 Wielkosc populacji: 	50	 Wielkosc turnieju: 	4	 Szansa mutacji: 	1	 Czas pomiaru: 	100000	 Generacja: 	219320	 Najlepszy wynik: 	23970
Liczba miast: 	48	 Wielkosc populacji: 	50	 Wielkosc turnieju: 	4	 Szansa mutacji: 	1	 Czas pomiaru: 	200000	 Generacja: 	439020	 Najlepszy wynik: 	23970
Liczba miast: 	48	 Wielkosc populacji: 	50	 Wielkosc turnieju: 	4	 Szansa mutacji: 	5	 Czas pomiaru: 	1000.33	 Generacja: 	2189	 Najlepszy wynik: 	29752
Liczba miast: 	48	 Wielkosc populacji: 	50	 Wielkosc turnieju: 	4	 Szansa mutacji: 	5	 Czas pomiaru: 	5000.11	 Generacja: 	11044	 Najlepszy wynik: 	27148
Liczba miast: 	48	 Wielkosc populacji: 	50	 Wielkosc turnieju: 	4	 Szansa mutacji: 	5	 Czas pomiaru: 	10000.1	 Generacja: 	22069	 Najlepszy wynik: 	27148
Liczba miast: 	48	 Wielkosc populacji: 	50	 Wielkosc turnieju: 	4	 Szansa mutacji: 	5	 Czas pomiaru: 	30000.2	 Generacja: 	66112	 Najlepszy wynik: 	26976
Liczba miast: 	48	 Wielkosc populacji: 	50	 Wielkosc turnieju: 	4	 Szansa mutacji: 	5	 Czas pomiaru: 	100000	 Generacja: 	218599	 Najlepszy wynik: 	23298
